Test Name,pheno,contrast,estimate,SE,df,t.ratio,p.value
Jay Test 2,Maturity Date,N18-1628 - Checks,3.5972389735861277,1.10000448107159,56.20694081525614,3.2702039268801975,0.029009054433177806
Jay Test 2,Maturity Date,N18-1643 - Checks,2.3671036482159646,1.1000044810715903,56.20694081525533,2.151903641256084,0.4411612802141689
Jay Test 2,Maturity Date,N18-1659 - Checks,0.73700579037369085,1.10000448107159,56.20694081525614,0.670002534585789,0.9999872573125271
Jay Test 2,Maturity Date,N18-1661 - Checks,0.6165768914767626,1.10000448107159,56.20694081525533,0.5605221633971097,0.9999989632374593
Jay Test 2,Maturity Date,N18-1761 - Checks,-0.49312953499645457,1.1000044810715899,56.20694081525533,-0.4482977510383078,0.9999999609370716
Jay Test 2,Maturity Date,N18-1769 - Checks,-0.31679390938445956,1.1000044810715905,56.20694081525755,-0.2879932898781,0.9999999999550135
Jay Test 2,Maturity Date,N18-1783 - Checks,0.6359148093673819,1.1000044810715903,56.20694081525755,0.5781020171371424,0.9999983865059702
Jay Test 2,Maturity Date,N18-1796 - Checks,0.8294813259131195,1.10000448107159,56.20694081525614,0.7540708607887349,0.9999375310633949
Jay Test 2,Maturity Date,N18-1820 - Checks,1.3391502848584529,1.10000448107159,56.20694081525513,1.2174043905292953,0.9842586495852051
Jay Test 2,Height (inches),N09-09 - Checks,4.667385074683965,1.1654991355307314,55.743986010671385,4.004623368989962,0.002965221243120153
Jay Test 2,Height (inches),N18-1575 - Checks,1.721116176451412,1.1654991355307311,55.743986010670795,1.4767202514205817,0.9190186290036495
Jay Test 2,Height (inches),N18-1577 - Checks,2.8231233383532217,1.1654991355307316,55.74398601067099,2.422244043164957,0.26070814532451847
Jay Test 2,Height (inches),N18-1579 - Checks,2.8737709138639316,1.1654991355307314,55.743986010670795,2.4656997386405672,0.23718563239462176
Jay Test 2,Height (inches),N18-1586 - Checks,0.561321188332903,1.1654991355307316,55.74398601067099,0.48161441842451047,0.9999998867024013
Jay Test 2,Height (inches),N18-1615 - Checks,2.6080554853389297,1.1654991355307314,55.743986010670795,2.237715503882638,0.3781475087554974
Jay Test 2,Height (inches),N18-1627 - Checks,2.686814352640273,1.1654991355307316,55.743986010671186,2.30529072972395,0.33194255211199597
Jay Test 2,Height (inches),N18-1628 - Checks,4.598044824139347,1.1654991355307311,55.743986010670795,3.945129330401042,0.0036006966265517137
Jay Test 2,Height (inches),N18-1643 - Checks,1.2222677365803132,1.1964930723269145,58.66239030689797,1.021541841611563,0.9974321556317719
Jay Test 2,Height (inches),N18-1659 - Checks,3.0900496728758977,1.1654991355307316,55.74398601067099,2.651267237078461,0.1543099849050481
Jay Test 2,Height (inches),N18-1661 - Checks,5.539994698075532,1.1654991355307316,55.74398601067099,4.753323729882299,2.3186045780698716e-4
Jay Test 2,Height (inches),N18-1761 - Checks,0.28130066635391904,1.1654991355307316,55.74398601067099,0.24135639210562226,0.9999999999971553
Jay Test 2,Height (inches),N18-1769 - Checks,-1.174860595443131,1.1654991355307316,55.743986010671186,-1.0080321465945459,0.9977988927035782
Jay Test 2,Height (inches),N18-1783 - Checks,3.5035333621162104,1.1654991355307314,55.743986010671385,3.006036860354094,0.061559207933216675
Jay Test 2,Height (inches),N18-1796 - Checks,3.949565108811154,1.1654991355307311,55.743986010670795,3.3887327655654143,0.020518304151520228
Jay Test 2,Height (inches),N18-1820 - Checks,1.4787433043874076,1.1654991355307316,55.74398601067099,1.2687639649891584,0.9768893984168923
Jay Test 2,Lodging,N09-09 - Checks,0.6025759964663078,0.21548350114180392,55.60743421531409,2.796390411671326,0.10749888270104446
